sno,productType,mainProduct,productName,description,brand,sku,weight,category_lvl1,category_lvl2,category_lvl3,category_lvl4,regularPrice,onSale,salePrice,quantity,mainImage,galleryImages,attribute_1_name,attribute_1_values,attribute_2_name,attribute_2_values,attribute_3_name,attribute_3_values,attribute_4_name,attribute_4_values
1023,Simple,,Uniquely Styled Double Layered Champagne Styled Flower Necklace With Zirkon Touch (With Ear Rings),Uniquely Styled Double Layered Champagne Styled Flower Necklace With Zirkon Touch (With Ear Rings),TS Jewellery,1023-25-AU,0.5,Fashion,Jewelry,,,"5,300",,,1,https://cdn.bazaarghar.com/TS/1023-25-AU.jpg,https://cdn.bazaarghar.com/TS/1023-25-AU-2.jpg,,,,,,,,
1034,Simple,Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),TS Jewellery,1034-14-AH,0.5,Fashion,Jewelry,,,"3,400",,,1,https://cdn.bazaarghar.com/TS/1034-14-AH-AB.jpg,,color,Gold,,,,,,
1035,Simple,Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),TS Jewellery,1035-14-AH,0.5,Fashion,Jewelry,,,"3,400",,,1,https://cdn.bazaarghar.com/TS/1035-14-AH.jpg,https://cdn.bazaarghar.com/TS/1035-14-AH-RJ-(4).jpg,color,Gold,,,,,,
1036,Simple,Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),Hand Made Gold Colored Nostalgically Styled Braided Bangle Set (Set Of Two),TS Jewellery,1036-14-AH,0.5,Fashion,Jewelry,,,"3,400",,,1,https://cdn.bazaarghar.com/TS/1036-14-AH-RJ.jpg,"https://cdn.bazaarghar.com/TS/1036-3400.jpg, https://cdn.bazaarghar.com/TS/1036-14-AH.jpg",color,Gold,,,,,,
,Main,,Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Pearls Colored Loaded Flower Themed Bangle Sets (Set Of Two),TS Jewellery,,0.5,Fashion,Jewelry,,,"4,100",,,,https://cdn.bazaarghar.com/TS/1037-4100.jpg,https://cdn.bazaarghar.com/TS/1037-25-AA.jpg,color,"Pearls, Emerald, Champaign, Multi, Pink, Blue",,,,,,
1037,Variant,Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Pearls Colored Loaded Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Pearls Colored Loaded Flower Themed Bangle Sets (Set Of Two),TS Jewellery,1037-25-AA,0.5,Fashion,Jewelry,,,"4,100",,,1,https://cdn.bazaarghar.com/TS/1037-4100.jpg,https://cdn.bazaarghar.com/TS/1037-25-AA.jpg,color,Pearls,,,,,,
1038,Variant,Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Bangle Sets (Set Of Two),TS Jewellery,1038-25-AA,0.5,Fashion,Jewelry,,,"4,100",,,1,https://cdn.bazaarghar.com/TS/1038-25-AA-RJ.jpg,,color,Emerald,,,,,,
1039,Variant,Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Pink Champagned Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Bangle Sets (Set Of Two),TS Jewellery,1039-25-AA,0.5,Fashion,Jewelry,,,"4,100",,,1,https://cdn.bazaarghar.com/TS/1039-25-AA-RJ.jpg,,color,Champaign,,,,,,
1040,Variant,Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Multi Colored Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Multi Colored Flower Themed Bangle Sets (Set Of Two),TS Jewellery,1040-25-AA,0.5,Fashion,Jewelry,,,"4,100",,,1,https://cdn.bazaarghar.com/TS/1040-25-AA-RJ.jpg,,color,Multi,,,,,,
1042,Variant,Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Bangle Sets (Set Of Two),TS Jewellery,1042-25-AA,0.5,Fashion,Jewelry,,,"4,100",,,1,https://cdn.bazaarghar.com/TS/1042-25-AA-RJ.jpg,,color,Pink,,,,,,
1043,Variant,Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Bangle Sets (Set Of Two),Artistically Crafted Flower Themed Bangle Sets (Set Of Two),TS Jewellery,1043-25-AA,0.5,Fashion,Jewelry,,,"4,100",,,1,https://cdn.bazaarghar.com/TS/1043-25-AA-RJ.jpg,,color,Blue,,,,,,
1045,Simple,,Madrassi Inspired Multi Colored Gold Plated Bangle Set (Set Of Two),Madrassi Inspired Multi Colored Gold Plated Bangle Set (Set Of Two),TS Jewellery,1045-25-AM,0.5,Fashion,Jewelry,,,"3,800",,,1,https://cdn.bazaarghar.com/TS/1045-(3).jpg,"https://cdn.bazaarghar.com/TS/1045-(5).jpg, https://cdn.bazaarghar.com/TS/1045-(6).jpg",color,Multi,,,,,,
1046,Simple,,Oxidised Flowers Styled Gold Plated Bangle Set With A Touch Of Polki (Set Of Two),Oxidised Flowers Styled Ruby Colored Gold Plated Bangle Set With A Touch Of Polki (Set Of Two),TS Jewellery,1046-25-AO,0.5,Fashion,Jewelry,,,"3,900",,,,https://cdn.bazaarghar.com/TS/1046-3900.jpg,,color,Ruby,,,,,,
1048,Simple,,Fusioned Gold Plated Antique Styled Bangle Set (Set Of Two),Fusioned Gold Plated Antique Styled Bangle Set (Set Of Two),TS Jewellery,1048-25-AF,0.5,Fashion,Jewelry,,,"4,600",,,1,https://cdn.bazaarghar.com/TS/1048-4600.jpg,,color,,,,,,,
1049,Simple,,Nostalgically Inspired Dholki Shaped Ruby Colored Gold Plated Bangle Set (Set Of Two),Nostalgically Inspired Dholki Shaped Ruby Colored Gold Plated Bangle Set (Set Of Two),TS Jewellery,1049-25-AN,0.5,Fashion,Jewelry,,,"4,200",,,1,https://cdn.bazaarghar.com/TS/1049-25-AN.jpg,https://cdn.bazaarghar.com/TS/1049-25-AN-(2).jpg,color,Ruby,,,,,,
1050,Simple,,Zirkin Styled Zig Zag Shaped Gold Plated Bangle Set (Set Of Two),Zirkin Styled Zig Zag Shaped Gold Plated Bangle Set (Set Of Two),TS Jewellery,1050-25-AZ,0.5,Fashion,Jewelry,,,"4,200",,,1,https://cdn.bazaarghar.com/TS/1050-4200.jpg,,color,,,,,,,
